review,sentiment,cleaned_review
"An faulty product. Complete failure, completely faulty quality and total waste.",0,an faulty product complete failure completely faulty quality and total waste
"An miserable product. Complete failure, completely miserable quality and total waste.",0,an miserable product complete failure completely miserable quality and total waste
This was an exceptional experience! The team provided exceptional support and everything worked seamlessly.,2,this was an exceptional experience the team provided exceptional support and everything worked seamlessly
This was an superb experience! The team provided superb support and everything worked seamlessly.,2,this was an superb experience the team provided superb support and everything worked seamlessly
This was an exceptional experience! The team provided exceptional support and everything worked seamlessly.,2,this was an exceptional experience the team provided exceptional support and everything worked seamlessly
This was an terrific experience! The team provided terrific support and everything worked seamlessly.,2,this was an terrific experience the team provided terrific support and everything worked seamlessly
"Dimensions are standard. Unit specifications: Model number 1035, manufactured in standard batch.",1,dimensions are standard unit specifications model number manufactured in standard batch
"Poor quality stitching, seams started coming apart after one wash.",0,poor quality stitching seams started coming apart after one wash
"The warranty lasts for 1 year. Unit specifications: Model number 1094, manufactured in standard batch.",1,the warranty lasts for year unit specifications model number manufactured in standard batch
"The instructions are printed in English and Spanish. Unit specifications: Model number 1049, manufactured in standard batch.",1,the instructions are printed in english and spanish unit specifications model number manufactured in standard batch
"Dimensions are standard. Unit specifications: Model number 1023, manufactured in standard batch.",1,dimensions are standard unit specifications model number manufactured in standard batch
"The warranty lasts for 1 year. Unit specifications: Model number 1022, manufactured in standard batch.",1,the warranty lasts for year unit specifications model number manufactured in standard batch
"Shipped via standard ground transport. Unit specifications: Model number 1098, manufactured in standard batch.",1,shipped via standard ground transport unit specifications model number manufactured in standard batch
This was an magnificent experience! The team provided magnificent support and everything worked seamlessly.,2,this was an magnificent experience the team provided magnificent support and everything worked seamlessly
"An faulty product. Complete failure, completely faulty quality and total waste.",0,an faulty product complete failure completely faulty quality and total waste
"An appalling product. Complete failure, completely appalling quality and total waste.",0,an appalling product complete failure completely appalling quality and total waste
It did not meet my expectations and I will never buy from them again.,0,it did not meet my expectations and i will never buy from them again
This was an delightful experience! The team provided delightful support and everything worked seamlessly.,2,this was an delightful experience the team provided delightful support and everything worked seamlessly
"Shipped via standard ground transport. Unit specifications: Model number 1092, manufactured in standard batch.",1,shipped via standard ground transport unit specifications model number manufactured in standard batch
"Shipped via standard ground transport. Unit specifications: Model number 1074, manufactured in standard batch.",1,shipped via standard ground transport unit specifications model number manufactured in standard batch
This was an superb experience! The team provided superb support and everything worked seamlessly.,2,this was an superb experience the team provided superb support and everything worked seamlessly
The meeting was held in room 302 and lasted forty minutes.,1,the meeting was held in room and lasted forty minutes
This was an exceptional experience! The team provided exceptional support and everything worked seamlessly.,2,this was an exceptional experience the team provided exceptional support and everything worked seamlessly
"An deplorable product. Complete failure, completely deplorable quality and total waste.",0,an deplorable product complete failure completely deplorable quality and total waste
"An atrocious product. Complete failure, completely atrocious quality and total waste.",0,an atrocious product complete failure completely atrocious quality and total waste
This was an splendid experience! The team provided splendid support and everything worked seamlessly.,2,this was an splendid experience the team provided splendid support and everything worked seamlessly
"Fast shipping, arrived 2 days earlier than scheduled. Highly recommend!",2,fast shipping arrived days earlier than scheduled highly recommend
"The item is available in black and silver. Unit specifications: Model number 1042, manufactured in standard batch.",1,the item is available in black and silver unit specifications model number manufactured in standard batch
"The item is available in black and silver. Unit specifications: Model number 1048, manufactured in standard batch.",1,the item is available in black and silver unit specifications model number manufactured in standard batch
"An faulty product. Complete failure, completely faulty quality and total waste.",0,an faulty product complete failure completely faulty quality and total waste
This was an terrific experience! The team provided terrific support and everything worked seamlessly.,2,this was an terrific experience the team provided terrific support and everything worked seamlessly
"Shipped via standard ground transport. Unit specifications: Model number 1014, manufactured in standard batch.",1,shipped via standard ground transport unit specifications model number manufactured in standard batch
"Super easy to assemble, took less than fifteen minutes with clear instructions.",2,super easy to assemble took less than fifteen minutes with clear instructions
"Terrible customer journey, hidden fees added at the checkout.",0,terrible customer journey hidden fees added at the checkout
"An faulty product. Complete failure, completely faulty quality and total waste.",0,an faulty product complete failure completely faulty quality and total waste
"Contains 500ml of liquid. Unit specifications: Model number 1021, manufactured in standard batch.",1,contains ml of liquid unit specifications model number manufactured in standard batch
"Dimensions are standard. Unit specifications: Model number 1047, manufactured in standard batch.",1,dimensions are standard unit specifications model number manufactured in standard batch
"The instructions are printed in English and Spanish. Unit specifications: Model number 1043, manufactured in standard batch.",1,the instructions are printed in english and spanish unit specifications model number manufactured in standard batch
"An miserable product. Complete failure, completely miserable quality and total waste.",0,an miserable product complete failure completely miserable quality and total waste
"This is not bad at all, actually quite decent for the price.",2,this is not bad at all actually quite decent for the price
"Not the best, not the worst, just a standard functional tool.",1,not the best not the worst just a standard functional tool
This was an terrific experience! The team provided terrific support and everything worked seamlessly.,2,this was an terrific experience the team provided terrific support and everything worked seamlessly
"The item is available in black and silver. Unit specifications: Model number 1060, manufactured in standard batch.",1,the item is available in black and silver unit specifications model number manufactured in standard batch
There is no doubt that this is the worst software update so far.,0,there is no doubt that this is the worst software update so far
"An abysmal product. Complete failure, completely abysmal quality and total waste.",0,an abysmal product complete failure completely abysmal quality and total waste
"An atrocious product. Complete failure, completely atrocious quality and total waste.",0,an atrocious product complete failure completely atrocious quality and total waste
